"Precinct","DATE","n"
1,2014-01-01,1
5,2014-01-01,4
6,2014-01-01,1
7,2014-01-01,0
9,2014-01-01,11
10,2014-01-01,3
13,2014-01-01,5
14,2014-01-01,9
17,2014-01-01,2
18,2014-01-01,11
19,2014-01-01,7
20,2014-01-01,4
22,2014-01-01,2
23,2014-01-01,2
24,2014-01-01,1
25,2014-01-01,0
26,2014-01-01,2
28,2014-01-01,0
30,2014-01-01,1
32,2014-01-01,7
33,2014-01-01,5
34,2014-01-01,3
40,2014-01-01,0
41,2014-01-01,2
42,2014-01-01,2
43,2014-01-01,6
44,2014-01-01,4
45,2014-01-01,2
46,2014-01-01,6
47,2014-01-01,4
48,2014-01-01,2
49,2014-01-01,3
50,2014-01-01,3
52,2014-01-01,5
60,2014-01-01,3
61,2014-01-01,4
62,2014-01-01,6
63,2014-01-01,3
66,2014-01-01,7
67,2014-01-01,7
68,2014-01-01,6
69,2014-01-01,4
70,2014-01-01,7
71,2014-01-01,6
72,2014-01-01,2
73,2014-01-01,2
75,2014-01-01,4
76,2014-01-01,1
77,2014-01-01,4
78,2014-01-01,1
79,2014-01-01,0
81,2014-01-01,0
83,2014-01-01,9
84,2014-01-01,5
88,2014-01-01,2
90,2014-01-01,12
94,2014-01-01,4
100,2014-01-01,2
101,2014-01-01,1
102,2014-01-01,7
103,2014-01-01,9
104,2014-01-01,3
105,2014-01-01,9
106,2014-01-01,6
107,2014-01-01,7
108,2014-01-01,8
109,2014-01-01,14
110,2014-01-01,5
111,2014-01-01,7
112,2014-01-01,3
113,2014-01-01,10
114,2014-01-01,3
115,2014-01-01,9
120,2014-01-01,10
121,2014-01-01,1
122,2014-01-01,4
123,2014-01-01,4
1,2014-01-02,0
5,2014-01-02,7
6,2014-01-02,4
7,2014-01-02,2
9,2014-01-02,4
10,2014-01-02,9
13,2014-01-02,12
14,2014-01-02,8
17,2014-01-02,9
18,2014-01-02,6
19,2014-01-02,10
20,2014-01-02,0
22,2014-01-02,2
23,2014-01-02,5
24,2014-01-02,2
25,2014-01-02,5
26,2014-01-02,0
28,2014-01-02,3
30,2014-01-02,6
32,2014-01-02,2
33,2014-01-02,2
34,2014-01-02,2
40,2014-01-02,4
41,2014-01-02,1
42,2014-01-02,5
43,2014-01-02,3
44,2014-01-02,3
45,2014-01-02,7
46,2014-01-02,7
47,2014-01-02,10
48,2014-01-02,3
49,2014-01-02,3
50,2014-01-02,5
52,2014-01-02,5
60,2014-01-02,3
61,2014-01-02,7
62,2014-01-02,11
63,2014-01-02,9
66,2014-01-02,11
67,2014-01-02,13
68,2014-01-02,7
69,2014-01-02,6
70,2014-01-02,4
71,2014-01-02,8
72,2014-01-02,6
73,2014-01-02,12
75,2014-01-02,18
76,2014-01-02,3
77,2014-01-02,6
78,2014-01-02,4
79,2014-01-02,5
81,2014-01-02,3
83,2014-01-02,4
84,2014-01-02,6
88,2014-01-02,1
90,2014-01-02,12
94,2014-01-02,0
100,2014-01-02,2
101,2014-01-02,0
102,2014-01-02,11
103,2014-01-02,14
104,2014-01-02,9
105,2014-01-02,22
106,2014-01-02,11
107,2014-01-02,15
108,2014-01-02,6
109,2014-01-02,11
110,2014-01-02,13
111,2014-01-02,7
112,2014-01-02,6
113,2014-01-02,10
114,2014-01-02,7
115,2014-01-02,6
120,2014-01-02,12
121,2014-01-02,3
122,2014-01-02,11
123,2014-01-02,13
1,2014-01-03,4
5,2014-01-03,4
6,2014-01-03,2
7,2014-01-03,2
9,2014-01-03,8
10,2014-01-03,4
13,2014-01-03,8
14,2014-01-03,4
17,2014-01-03,6
18,2014-01-03,5
19,2014-01-03,11
20,2014-01-03,3
22,2014-01-03,0
23,2014-01-03,3
24,2014-01-03,1
25,2014-01-03,3
26,2014-01-03,1
28,2014-01-03,0
30,2014-01-03,0
32,2014-01-03,4
33,2014-01-03,0
34,2014-01-03,1
40,2014-01-03,5
41,2014-01-03,2
42,2014-01-03,5
43,2014-01-03,8
44,2014-01-03,10
45,2014-01-03,3
46,2014-01-03,4
47,2014-01-03,7
48,2014-01-03,5
49,2014-01-03,3
50,2014-01-03,3
52,2014-01-03,5
60,2014-01-03,3
61,2014-01-03,9
62,2014-01-03,5
63,2014-01-03,6
66,2014-01-03,8
67,2014-01-03,2
68,2014-01-03,7
69,2014-01-03,4
70,2014-01-03,5
71,2014-01-03,2
72,2014-01-03,7
73,2014-01-03,1
75,2014-01-03,5
76,2014-01-03,3
77,2014-01-03,2
78,2014-01-03,4
79,2014-01-03,3
81,2014-01-03,2
83,2014-01-03,2
84,2014-01-03,8
88,2014-01-03,3
90,2014-01-03,6
94,2014-01-03,4
100,2014-01-03,2
101,2014-01-03,3
102,2014-01-03,4
103,2014-01-03,10
104,2014-01-03,4
105,2014-01-03,11
106,2014-01-03,3
107,2014-01-03,8
108,2014-01-03,7
109,2014-01-03,10
110,2014-01-03,5
111,2014-01-03,1
112,2014-01-03,7
113,2014-01-03,5
114,2014-01-03,12
115,2014-01-03,7
120,2014-01-03,7
121,2014-01-03,3
122,2014-01-03,8
123,2014-01-03,3
